,bodyId,type,pre,post,size
83026,2523105733,,24,13,20124559
18337,940075464,KCab-m,191,557,274517279
63352,2099803314,,3,5,3862203
83416,2527617021,,2,10,3676069
84619,2564130196,,0,15,3677361
34463,1469213829,,10,4,5036466
30147,1346438734,,8,7,3570355
82755,2506126706,,13,23,39384307
30228,1347125877,,25,18,14200216
186,205295076,,7,7,6126271
5510,451990898,LHAV5a1,146,216,306495759
40234,1626919110,LPLC4,340,650,576999262
23692,1163185731,vDeltaL,45,407,154227911
12396,698793981,,9,3,5687838
35000,1479436834,,29,2,19631416
85071,2589738242,,2,49,5770611
93466,5813032896,KCa'b'-ap2,216,689,404784077
17588,910917604,,1,12,3966760
44161,1717894837,LC18,174,154,204289604
1718,301123783,,25,84,16290010
88260,5812983613,LPC1,136,152,125983844
28796,1297323503,,8,21,2089549
86049,2652482053,,2,16,9900028
96983,5813129481,,137,112,151319144
88188,5812983131,KCab-m,158,432,151992693
29054,1314216624,PLP143,687,1188,1139453776
24429,1173866070,,139,362,86160689
68098,2218360435,,4,20,7189326
78446,2428425360,,85,31,78260331
61890,2068736990,,7,5,3933829
66443,2183362966,,14,47,21035492
95361,5813057947,PAM08_a,127,452,143579591
33364,1439927802,LC10,83,289,228278931
38246,1566752786,,17,46,15203046
77172,2400994955,,26,33,13455971
32990,1434949542,PVLP141,172,3603,2285522284
3821,388280322,SMP448,172,902,446177990
17001,884661378,,1,11,4517239
9420,574990555,,2,2,2035861
7730,542634818,DM1_lPN,4877,10440,8518137044
4244,393153759,,13,18,26720928
39141,1595399699,,4,2,1632594
77045,2399661379,,32,104,184375141
8325,546343337,,30,14,28863669
95559,5813061805,PS209,8,177,329547076
77498,2403150053,,43,10,28128965
91214,5813007796,,4,1,7462933
48602,1808327623,LLPC3,63,70,82576362
92967,5813024345,ORN_VL1,89,105,70116722
54356,1911878665,,3,2,1899092
94904,5813053831,SMP306,56,353,551724064
71972,2305537509,,14,13,12401294
43063,1691915605,,11,14,8334823
26518,1233859910,,133,337,80122258
29699,1325250418,,109,239,76649106
20081,1010667275,CL113,354,137,721105043
32114,1407485824,,34,32,33787166
39522,1602410483,LAL087,70,68,135312443
92029,5813015124,,229,773,227980591
12898,723849351,KCg-m,242,880,378152693
48612,1808556326,,19,9,17695139
2436,329918685,SMP484,137,254,516821244
28814,1298005689,,75,188,54272533
72688,2312281651,,0,14,1766594
24938,1196031279,,0,503,307436048
88437,5812987747,MC64,111,110,99072236
88357,5812986708,,173,458,333960848
42892,1689899527,,37,54,24711539
15835,830768222,,28,58,23404979
14949,795990658,,13,102,30978527
23090,1137715976,,2,3,1864699
6725,488011988,,131,65,138107000
3915,389804216,,0,17,2390120
15752,829063567,,12,17,3845975
9801,581055513,,125,153,182639699
97812,5901231324,,75,306,35383242
62183,2072825498,,2,9,2015268
15287,817294806,KCa'b'-ap2,237,543,440837776
17382,892273269,LC10,171,293,326790585
80588,2463742139,,4,23,5538084
10049,602999843,LHPV5d1_a,158,327,386910690
84893,2584916263,,15,2,14957267
77488,2403058902,,21,22,13876071
20330,1016403672,LC10,141,247,315716736
69380,2248018226,,44,21,32710691
96828,5813100808,,0,0,112792242
68162,2219167389,,2,4,1565893
3502,362701969,KCab-s,232,622,333622355
94286,5813042659,MBON22,810,14118,3046434158
27568,1261772956,ER3a_b,234,619,502015903
44578,1722764125,,772,420,1107305943
5343,450371612,SMP228,58,351,308088190
22764,1132163803,FC3,159,512,317865899
39066,1594506747,,213,136,209946693
91183,5813007636,,11,4,45584686
3946,390149512,,2,11,4736639
2544,330804000,,102,74,75944929
49265,1815826155,LPLC2,248,372,367714534
45894,1750902461,,28,50,22969527
51380,1855270189,,22,71,23598271
8264,546287086,SMP123,312,1253,983340792
31187,1378143780,,0,13,5420309
57469,1974980245,,6,11,6395608
75387,2369084405,,0,40,2140664
5393,450919762,LHPV4d4,182,473,438166484
12786,706296412,,15,28,10564908
82194,2495771192,,15,11,17101490
38898,1592382424,Li13,239,300,339455324
9998,601237547,,0,0,113820699
72911,2314045891,,1,7,91039514
81074,2467119392,,9,8,4236115
22598,1129867004,,2,6,1180434
16280,855314682,,23,157,160641892
88349,5812986565,MC61,19,22,48439262
69790,2251929379,,78,130,185810109
3434,361959852,LHAV1d2_a,76,444,480014389
94007,5813039369,,96,68,103525999
73992,2340579761,,67,117,85748469
55796,1940147110,,11,9,8920969
72693,2312286104,,27,35,24940451
64882,2137891363,ORN_VA2,59,80,39134295
77807,2405429726,,7,16,9974311
85513,2617349947,,4,3,5159619
61204,2058234788,,38,20,20203140
9508,576985092,SMP470,1405,3126,2424787049
13814,757448284,,0,14,1313630
52309,1875625119,VES027,413,860,1224409175
56855,1965432174,,3,9,6426147
35043,1480420549,,65,145,32675594
76750,2395494764,,0,0,46743301
73336,2320115595,,0,0,50164033
82059,2494786708,,5,20,6076986
51609,1858866474,,5,13,6600964
43586,1701299822,M_imPNl92,689,2345,1081161184
2320,328909309,SLP408,135,404,654687749
11666,669852092,LHAV4e4,205,667,497907463
53401,1898599527,,0,0,1462689511
127,204612924,,11,8,13029083
54321,1911205125,,9,20,7448608
32015,1406461662,,2,3,2374353
75132,2365832688,,46,32,32590051
60716,2041963078,ORN_VL2a,69,77,70224180
39033,1594061759,,35,20,30072099
35986,1504432299,LC21,122,115,183280916
2514,330640044,SMP181,2016,7001,2700120553
12717,705462899,CRE018,230,739,412325364
60093,2032294385,,85,70,60217146
51617,1858896269,ORN_DC2,166,223,131384806
26136,1226032803,,14,40,18253510
30142,1346430106,,2,3,2370831
28558,1290904379,AVLP005,104,131,262458004
73952,2340251350,,34,26,28236464
57570,1978049465,,0,0,41109083
95266,5813056979,,106,161,93342017
87574,5812979560,PAM01_a,128,1468,284303946
41080,1654413660,,17,20,12831162
86110,2654463556,,6,1,10866151
7781,543252298,,7,24,12589330
14051,762058745,LAL032,173,850,331831506
59106,2009184596,AVLP374,1548,5025,1693421529
17164,886682742,,25,134,66337408
59100,2009084402,,0,0,65211319
35408,1497865324,,40,45,25946672
12524,701854702,,0,10,2718911
86463,2684212358,,10,6,6175704
9666,579592619,KCa'b'-m,239,696,417324948
52131,1874023739,,0,18,2143554
49148,1814359306,,31,39,34051764
56601,1952679398,,4,5,2909604
62416,2075562693,,6,12,5750908
50992,1848777743,,12,61,11591787
72961,2314667952,,5,38,14576832
17961,916646779,FS3,53,443,216244053
94122,5813040095,LHAV6b3,194,465,540208721
23601,1161581054,,5,17,6623704
9423,574995113,,5,15,7486652
14805,792045391,CL074,411,895,1205321158
88852,5812991322,,25,16,23497701
62942,2092675859,,72,85,41620234
54201,1909527070,,31,79,35222855
48557,1807887605,,15,15,17724671
88227,5812983399,PAM05,327,1338,358512014
88491,5812988253,,29,63,38949521
79817,2438518825,,4,4,2529341
33153,1437191065,,25,27,15158538
85837,2627598663,,3,2,3156973
63591,2103446612,ORN_VC3m,49,55,60842686
33165,1437363025,PS287,123,84,202732720
62031,2070834869,,0,0,116018215
80333,2461726707,,26,12,12200382
26424,1231675708,ER3a_b,241,855,542446051
13380,734591055,,2,3,3314357
36197,1509534582,,56,96,71123405
96510,5813082934,,17,96,12087248
48346,1796610935,,2,1,1783785
80953,2466129528,,9,8,4111678
81879,2493366380,,4,16,4128331
15663,827021324,,9,4,5353159
28818,1298320979,,132,346,79813739
21177,1068142756,,0,31,5048225
62944,2092679915,,61,50,37532117
19002,955024652,AOTU059,107,190,234766684
86845,2716256640,,9,5,7880053
55849,1940841463,,48,29,20814591
804,268730918,,115,83,78169369
4361,394565411,,33,74,20265999
11687,670219670,LHAD2f1,217,696,666752476
23974,1167779265,MC61,24,35,51552578
81227,2468548673,,4,7,4010645
70176,2259298672,ORN_VM1,61,89,37774755
13075,728460284,,0,169,82059032
30195,1346788628,,20,8,13166835
73189,2317728419,,2,2,964850
67909,2216439164,,10,17,8237121
62917,2092330076,,35,32,20653053
4072,391160424,,37,27,16944388
78390,2427250546,,0,0,48610308
575,263199096,OCG01,92,59,11215811167
42363,1683048049,,0,25,5542978
30787,1360075551,,19,39,10215888
58752,2002908113,,3,14,4597231
44443,1721263801,,34,18,25500779
6748,488369410,,1,11,3155177
70528,2275184957,,41,64,31802014
71305,2282610539,,21,27,20597805
86573,2687263785,,3,5,2479584
20291,1015484487,,710,623,523595977
46713,1764168474,ORN_DC1,154,262,151916270
74615,2345194123,,23,21,17572119
76952,2398642127,,33,18,18859078
7968,544296987,,0,15,2783143
4103,391514187,,3,6,3164567
40501,1631538348,,3,60,30154951
20174,1012549102,,7,12,4725870
71516,2286012527,,2,1,1736862
12325,697398827,SMP459,150,281,328295912
60492,2038755920,,2,2,2803999
53988,1907108936,,10,9,7561400
58965,2006015509,,4,0,2535777
57622,1978810311,,446,812,486728275
15517,822558433,,419,309,444424270
69179,2246239792,,37,214,135750474
81517,2490141120,,19,4,14891183
86103,2654178732,,2,13,3507039
46279,1754999720,,12,4,6771662
45571,1747811669,,71,25,45033438
56606,1952989337,,4,19,1954292
18906,952188974,,3,1,4621428
40556,1633411652,PLP078,1296,138,1672701183
46655,1762847461,,6,17,4290567
3431,361950669,,42,18,60039302
71592,2287375621,,6,4,6094973
11407,662728826,KCab-m,205,531,283630828
21906,1099856007,,3,15,6085255
20263,1014598794,,4,2,1321753
26394,1231157822,,83,30,79784703
6144,480997558,SLP360,426,677,549193943
18025,917643796,OA-ASM2,928,944,1384441420
34863,1474817545,PVLP128,196,639,480196808
15122,799263200,CRE043_d,169,1169,621057673
91912,5813013652,,60,135,94884664
11746,671506104,,0,16,3803551
