,Unnamed: 0,bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1429,51262,1853224706,,,2,14,10,14,2,2087266,Traced,True,Leaves,,,,"{'LX(L)': {'pre': 2, 'post': 14, 'downstream': 10, 'upstream': 14, 'mito': 2, 'dark': 2}, 'LAL(L)': {'pre': 2, 'post': 14, 'downstream': 10, 'upstream': 14, 'mito': 2, 'dark': 2}}",,"['LAL(L)', 'LX(L)']","['LAL(L)', 'LX(L)']"
1430,45107,1733138228,,,22,26,108,26,21,32242048,Traced,True,Leaves,,,,"{'AL(L)': {'pre': 22, 'post': 25, 'downstream': 108, 'upstream': 25, 'mito': 7, 'dark': 6, 'light': 1}, 'AL-VA6(L)': {'pre': 22, 'post': 25, 'downstream': 108, 'upstream': 25, 'mito': 7, 'dark': 6, 'light': 1}}",,"['AL(L)', 'AL-VA6(L)']","['AL(L)', 'AL-VA6(L)']"
1431,16528,861125727,,,12,31,51,31,8,9201564,Traced,True,Leaves,,,,"{'MB(L)': {'pre': 9, 'post': 27, 'downstream': 44, 'upstream': 27, 'mito': 6, 'dark': 6}, 'aL(L)': {'pre': 9, 'post': 27, 'downstream': 44, 'upstream': 27, 'mito': 6, 'dark': 6}, 'INP': {'pre': 3, 'post': 4, 'downstream': 7, 'upstream': 4, 'mito': 2, 'dark': 2}, 'CRE(L)': {'pre': 3, 'post': 4, 'downstream': 7, 'upstream': 4, 'mito': 2, 'dark': 2}, 'CRE(-RUB)(L)': {'pre': 3, 'post': 4, 'downstream': 7, 'upstream': 4, 'mito': 2, 'dark': 2}}",,"['CRE(-RUB)(L)', 'CRE(L)', 'INP', 'MB(L)', 'aL(L)']","['CRE(-RUB)(L)', 'CRE(L)', 'INP', 'MB(L)', 'aL(L)']"
1432,46398,1757361545,,,143,135,665,135,68,82208822,Traced,True,Leaves,,,,"{'LX(L)': {'pre': 94, 'post': 78, 'downstream': 455, 'upstream': 78, 'mito': 42, 'dark': 27, 'light': 3, 'medium': 12}, 'LAL(L)': {'pre': 94, 'post': 78, 'downstream': 455, 'upstream': 78, 'mito': 42, 'dark': 27, 'light': 3, 'medium': 12}, 'VMNP': {'pre': 49, 'post': 57, 'downstream': 210, 'upstream': 57, 'mito': 26, 'dark': 24, 'medium': 2}, 'VES(L)': {'pre': 49, 'post': 57, 'downstream': 210, 'upstream': 57, 'mito': 26, 'dark': 24, 'medium': 2}}",,"['LAL(L)', 'LX(L)', 'VES(L)', 'VMNP']","['LAL(L)', 'LX(L)', 'VES(L)', 'VMNP']"
1433,8751,549158040,SLP451_R,SLP451,140,415,1165,415,116,476032627,Traced,False,Roughly traced,PVL04,305.0,"[9293, 10797, 22992]","{'SNP(R)': {'pre': 77, 'post': 313, 'downstream': 623, 'upstream': 313, 'mito': 71, 'dark': 70, 'light': 1}, 'SMP(R)': {'pre': 50, 'post': 33, 'downstream': 446, 'upstream': 33, 'mito': 16, 'dark': 16}, 'SIP(R)': {'pre': 15, 'post': 86, 'downstream': 118, 'upstream': 86, 'mito': 16, 'dark': 16}, 'SLP(R)': {'pre': 12, 'post': 194, 'downstream': 59, 'upstream': 194, 'mito': 39, 'dark': 38, 'light': 1}, 'SNP(L)': {'pre': 61, 'post': 70, 'downstream': 532, 'upstream': 70, 'mito': 19, 'dark': 18, 'medium': 1}, 'SMP(L)': {'pre': 61, 'post': 70, 'downstream': 532, 'upstream': 70, 'mito': 19, 'dark': 18, 'medium': 1}, 'INP': {'pre': 1, 'post': 27, 'downstream': 8, 'upstream': 27, 'mito': 6, 'dark': 5, 'light': 1}, 'SCL(R)': {'post': 19, 'upstream': 19, 'mito': 4, 'dark': 3, 'light': 1}, 'CRE(R)': {'pre': 1, 'post': 8, 'downstream': 8, 'upstream': 8, 'mito': 2, 'dark': 2}, 'CRE(-ROB,-RUB)(R)': {'pre': 1, 'post': 8, 'downstream': 8, 'upstream': 8, 'mito': 2, 'dark': 2}, 'VLNP(R)': {'pre': 1, 'post': 3, 'downstream': 2, 'upstream': 3, 'mito': 6, 'dark': 5, 'light': 1}, 'AVLP(R)': {'pre': 1, 'post': 1, 'downstream': 2, 'upstream': 1}, 'PLP(R)': {'post': 1, 'upstream': 1, 'mito': 4, 'dark': 3, 'light': 1}, 'PVLP(R)': {'post': 1, 'upstream': 1, 'mito': 2, 'dark': 2}}",,"['AVLP(R)', 'CRE(-ROB,-RUB)(R)', 'CRE(R)', 'INP', 'PLP(R)', 'PVLP(R)', 'SCL(R)', 'SIP(R)', 'SLP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'VLNP(R)']","['AVLP(R)', 'CRE(-ROB,-RUB)(R)', 'CRE(R)', 'INP', 'SIP(R)', 'SLP(R)', 'SMP(L)', 'SMP(R)', 'SNP(L)', 'SNP(R)', 'VLNP(R)']"
1434,53593,1902420328,LPC2,LPC2,14,12,81,12,11,26707361,Traced,False,Roughly traced,,,,"{'VLNP(R)': {'pre': 14, 'post': 12, 'downstream': 81, 'upstream': 12, 'mito': 8, 'dark': 7, 'light': 1}, 'PLP(R)': {'pre': 14, 'post': 12, 'downstream': 81, 'upstream': 12, 'mito': 8, 'dark': 7, 'light': 1}}",,"['PLP(R)', 'VLNP(R)']","['PLP(R)', 'VLNP(R)']"
1435,49261,1815773781,LC12,LC12,138,200,703,200,49,153091636,Traced,False,Roughly traced,,,,"{'VLNP(R)': {'pre': 136, 'post': 139, 'downstream': 695, 'upstream': 139, 'mito': 25, 'dark': 25}, 'PVLP(R)': {'pre': 136, 'post': 139, 'downstream': 695, 'upstream': 139, 'mito': 25, 'dark': 25}, 'OL(R)': {'pre': 2, 'post': 59, 'downstream': 8, 'upstream': 59, 'mito': 21, 'dark': 21}, 'LO(R)': {'pre': 2, 'post': 59, 'downstream': 8, 'upstream': 59, 'mito': 21, 'dark': 21}}",,"['LO(R)', 'OL(R)', 'PVLP(R)', 'VLNP(R)']","['LO(R)', 'OL(R)', 'PVLP(R)', 'VLNP(R)']"
1436,7545,520069347,,,6,8,36,8,1,6073336,Traced,True,Leaves,,,,"{'SNP(L)': {'pre': 6, 'post': 8, 'downstream': 36, 'upstream': 8, 'mito': 1, 'dark': 1}, 'SIP(L)': {'pre': 6, 'post': 8, 'downstream': 36, 'upstream': 8, 'mito': 1, 'dark': 1}}",,"['SIP(L)', 'SNP(L)']","['SIP(L)', 'SNP(L)']"
1437,85339,2596568213,,,5,4,50,4,1,6036612,Traced,True,Leaves,,,,"{'GNG': {'pre': 5, 'post': 4, 'downstream': 50, 'upstream': 4, 'mito': 1, 'dark': 1}}",,['GNG'],['GNG']
1438,26586,1234873868,,,168,327,655,327,53,86587051,Traced,True,Leaves,,,,"{'MB(L)': {'pre': 168, 'post': 327, 'downstream': 655, 'upstream': 327, 'mito': 53, 'dark': 53}, 'gL(L)': {'pre': 168, 'post': 327, 'downstream': 655, 'upstream': 327, 'mito': 53, 'dark': 53}}",,"['MB(L)', 'gL(L)']","['MB(L)', 'gL(L)']"
